"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class","Headwidth_numeric"
"48",1,4,93,45,1.895,">43",45
"49",1,4,84,43,1.811,"40-43",43
"50",1,4,95,43,1.811,"40-43",43
"51",1,4,80,38,1.6,"35-39",38
"52",1,4,74,39,1.642,"35-39",39
"53",1,4,96,43,1.811,"40-43",43
"54",1,4,149,44,1.853,">43",44
"55",1,4,107,44,1.853,">43",44
"56",1,4,98,42,1.768,"40-43",42
"57",1,4,110,46,1.937,">43",46
"58",1,7,115,45,1.895,">43",45
"59",1,7,107,41,1.726,"40-43",41
"60",1,7,105,42,1.768,"40-43",42
"61",1,7,96,43,1.811,"40-43",43
"62",1,7,70,37,1.558,"35-39",37
"63",1,7,96,42,1.768,"40-43",42
"64",1,7,127,43,1.811,"40-43",43
"65",1,7,131,45,1.895,">43",45
"66",1,7,104,40,1.684,"40-43",40
"67",1,7,126,46,1.937,">43",46
"68",1,7,83,42,1.768,"40-43",42
"69",1,7,108,43,1.811,"40-43",43
"70",1,7,99,42,1.768,"40-43",42
"71",1,7,92,42,1.768,"40-43",42
"72",1,7,103,47,1.979,">43",47
"73",1,7,104,42,1.768,"40-43",42
"74",1,7,107,42,1.768,"40-43",42
"75",1,7,120,45,1.895,">43",45
"76",1,7,112,43,1.811,"40-43",43
"77",1,7,97,41,1.726,"40-43",41
"78",1,7,94,42,1.768,"40-43",42
"79",1,7,92,40,1.684,"40-43",40
"80",1,10,123,44,1.853,">43",44
"81",1,10,72,33,1.389,"30-34",33
"82",1,10,92,40,1.684,"40-43",40
"83",1,10,75,38,1.6,"35-39",38
"84",1,10,110,46,1.937,">43",46
"85",1,10,97,43,1.811,"40-43",43
"86",1,10,93,41,1.726,"40-43",41
"87",1,10,88,43,1.811,"40-43",43
"88",1,10,82,42,1.768,"40-43",42
"89",1,10,101,43,1.811,"40-43",43
"90",1,10,110,41,1.726,"40-43",41
"91",1,10,75,37,1.558,"35-39",37
"92",1,10,81,40,1.684,"40-43",40
"93",1,10,99,43,1.811,"40-43",43
"94",1,10,103,43,1.811,"40-43",43
"95",1,10,114,46,1.937,">43",46
"96",1,10,101,46,1.937,">43",46
"97",1,10,77,42,1.768,"40-43",42
"98",1,10,125,47,1.979,">43",47
"99",1,10,90,39,1.642,"35-39",39
"100",2,1,148,45,1.895,">43",45
"101",2,1,110,45,1.895,">43",45
"102",2,1,110,41,1.726,"40-43",41
"103",2,1,97,41,1.726,"40-43",41
"104",2,1,136,45,1.895,">43",45
"105",2,1,115,43,1.811,"40-43",43
"106",2,1,101,42,1.768,"40-43",42
"107",2,1,158,47,1.979,">43",47
"108",2,1,67,36,1.516,"35-39",36
"109",2,1,114,42,1.768,"40-43",42
"110",2,1,62,35,1.474,"35-39",35
"111",2,1,67,36,1.516,"35-39",36
"112",2,1,121,45,1.895,">43",45
"113",2,1,47,33,1.389,"30-34",33
"114",2,1,82,37,1.558,"35-39",37
"115",2,1,79,38,1.6,"35-39",38
"116",2,1,119,46,1.937,">43",46
"117",2,1,111,41,1.726,"40-43",41
"118",2,1,47,32,1.347,"30-34",32
"119",2,1,75,39,1.642,"35-39",39
"120",2,1,60,35,1.474,"35-39",35
"121",2,1,104,45,1.895,">43",45
"122",2,4,133,46,1.937,">43",46
"123",2,4,134,47,1.979,">43",47
"124",2,4,73,44,1.853,">43",44
"125",2,4,121,44,1.853,">43",44
"126",2,4,73,39,1.642,"35-39",39
"127",2,4,86,42,1.768,"40-43",42
"128",2,4,63,40,1.684,"40-43",40
"129",2,4,84,41,1.726,"40-43",41
"130",2,4,129,46,1.937,">43",46
"131",2,4,106,45,1.895,">43",45
"132",2,4,90,40,1.684,"40-43",40
"133",2,4,62,38,1.6,"35-39",38
"134",2,4,70,39,1.642,"35-39",39
"135",2,4,86,44,1.853,">43",44
"136",2,4,99,42,1.768,"40-43",42
"137",2,4,50,36,1.516,"35-39",36
"138",2,4,133,47,1.979,">43",47
"139",2,4,74,43,1.811,"40-43",43
"140",2,4,140,47,1.979,">43",47
"141",2,4,77,37,1.558,"35-39",37
"142",2,4,137,46,1.937,">43",46
"143",2,4,94,39,1.642,"35-39",39
"144",2,7,79,39,1.642,"35-39",39
"145",2,7,105,42,1.768,"40-43",42
"146",2,7,104,42,1.768,"40-43",42
"147",2,7,99,43,1.811,"40-43",43
"148",2,7,67,35,1.474,"35-39",35
"149",2,7,129,46,1.937,">43",46
"150",2,7,97,37,1.558,"35-39",37
"151",2,7,126,45,1.895,">43",45
"152",2,7,152,46,1.937,">43",46
"153",2,7,67,34,1.432,"30-34",34
"154",2,7,60,34,1.432,"30-34",34
"155",2,7,94,40,1.684,"40-43",40
"156",2,7,128,46,1.937,">43",46
"157",2,7,101,43,1.811,"40-43",43
"158",2,7,44,31,1.305,"30-34",31
"159",2,7,119,45,1.895,">43",45
"160",2,7,117,45,1.895,">43",45
"161",2,7,80,40,1.684,"40-43",40
"162",2,7,78,39,1.642,"35-39",39
"163",2,7,54,31,1.305,"30-34",31
"164",2,7,99,45,1.895,">43",45
"165",2,10,137,44,1.853,">43",44
"166",2,10,120,42,1.768,"40-43",42
"167",2,10,107,42,1.768,"40-43",42
"168",2,10,98,43,1.811,"40-43",43
"169",2,10,97,45,1.895,">43",45
"170",2,10,55,43,1.811,"40-43",43
"171",2,10,96,40,1.684,"40-43",40
"172",2,10,118,43,1.811,"40-43",43
"173",2,10,73,39,1.642,"35-39",39
"174",2,10,102,43,1.811,"40-43",43
"175",2,10,103,44,1.853,">43",44
"176",2,10,97,45,1.895,">43",45
"177",2,10,96,43,1.811,"40-43",43
"178",2,10,81,42,1.768,"40-43",42
"179",2,10,114,42,1.768,"40-43",42
"180",2,10,143,47,1.979,">43",47
"181",2,10,52,30,1.263,"30-34",30
"182",2,10,83,43,1.811,"40-43",43
"183",2,10,76,37,1.558,"35-39",37
"184",2,10,141,45,1.895,">43",45
"185",2,10,99,40,1.684,"40-43",40
"186",2,10,154,48,2.021,">43",48
"187",2,10,109,42,1.768,"40-43",42
"188",3,1,103,40,1.684,"40-43",40
"189",3,1,55,32,1.347,"30-34",32
"190",3,1,154,46,1.937,">43",46
"191",3,1,105,40,1.684,"40-43",40
"192",3,1,90,36,1.516,"35-39",36
"193",3,1,103,43,1.811,"40-43",43
"194",3,1,106,42,1.768,"40-43",42
"195",3,1,64,38,1.6,"35-39",38
"196",3,1,81,38,1.6,"35-39",38
"197",3,1,120,42,1.768,"40-43",42
"198",3,1,69,35,1.474,"35-39",35
"199",3,1,85,40,1.684,"40-43",40
"200",3,1,143,49,2.063,">43",49
"201",3,1,70,39,1.642,"35-39",39
"202",3,1,97,43,1.811,"40-43",43
"203",3,1,127,45,1.895,">43",45
"204",3,1,74,36,1.516,"35-39",36
"205",3,1,81,39,1.642,"35-39",39
"206",3,1,89,42,1.768,"40-43",42
"207",3,1,28,29,1.221,"<30",29
"208",3,1,54,32,1.347,"30-34",32
"209",3,1,113,46,1.937,">43",46
"210",3,4,93,43,1.811,"40-43",43
"211",3,4,117,42,1.768,"40-43",42
"212",3,4,81,35,1.474,"35-39",35
"213",3,4,127,43,1.811,"40-43",43
"214",3,4,128,48,2.021,">43",48
"215",3,4,102,41,1.726,"40-43",41
"216",3,4,94,38,1.6,"35-39",38
"217",3,4,76,36,1.516,"35-39",36
"218",3,4,111,42,1.768,"40-43",42
"219",3,4,86,41,1.726,"40-43",41
"220",3,4,56,35,1.474,"35-39",35
"221",3,4,87,39,1.642,"35-39",39
"222",3,4,66,35,1.474,"35-39",35
"223",3,4,82,41,1.726,"40-43",41
"224",3,4,61,30,1.263,"30-34",30
"225",3,4,57,31,1.305,"30-34",31
"226",3,4,135,47,1.979,">43",47
"227",3,4,104,42,1.768,"40-43",42
"228",3,4,132,48,2.021,">43",48
"229",3,4,120,44,1.853,">43",44
"230",3,4,118,43,1.811,"40-43",43
"231",3,4,111,45,1.895,">43",45
"232",3,7,74,34,1.432,"30-34",34
"233",3,7,80,39,1.642,"35-39",39
"234",3,7,95,41,1.726,"40-43",41
"235",3,7,64,31,1.305,"30-34",31
"236",3,7,50,32,1.347,"30-34",32
"237",3,7,122,45,1.895,">43",45
"238",3,7,81,39,1.642,"35-39",39
"239",3,7,105,42,1.768,"40-43",42
"240",3,7,89,39,1.642,"35-39",39
"241",3,7,145,45,1.895,">43",45
"242",3,7,43,32,1.347,"30-34",32
"243",3,7,70,38,1.6,"35-39",38
"244",3,7,66,36,1.516,"35-39",36
"245",3,7,99,39,1.642,"35-39",39
"246",3,7,120,45,1.895,">43",45
"247",3,7,116,44,1.853,">43",44
"248",3,7,105,40,1.684,"40-43",40
"249",3,7,132,45,1.895,">43",45
"250",3,7,77,39,1.642,"35-39",39
"251",3,7,123,45,1.895,">43",45
"252",3,7,126,46,1.937,">43",46
"253",3,10,108,44,1.853,">43",44
"254",3,10,92,41,1.726,"40-43",41
"255",3,10,86,39,1.642,"35-39",39
"256",3,10,95,40,1.684,"40-43",40
"257",3,10,89,41,1.726,"40-43",41
"258",3,10,119,43,1.811,"40-43",43
"259",3,10,60,36,1.516,"35-39",36
"260",3,10,100,42,1.768,"40-43",42
"261",3,10,95,40,1.684,"40-43",40
"262",3,10,55,32,1.347,"30-34",32
"263",3,10,78,40,1.684,"40-43",40
"264",3,10,75,38,1.6,"35-39",38
"265",3,10,112,44,1.853,">43",44
"266",3,10,98,42,1.768,"40-43",42
"267",3,10,77,38,1.6,"35-39",38
"268",3,10,84,40,1.684,"40-43",40
"269",3,10,92,34,1.432,"30-34",34
"270",3,10,110,43,1.811,"40-43",43
"271",3,10,140,47,1.979,">43",47
"272",3,10,84,39,1.642,"35-39",39
"273",3,10,61,30,1.263,"30-34",30
"274",3,10,129,45,1.895,">43",45
"275",3,10,116,41,1.726,"40-43",41
"276",4,1,74,40,1.684,"40-43",40
"277",4,1,95,38,1.6,"35-39",38
"278",4,1,89,41,1.726,"40-43",41
"279",4,1,95,41,1.726,"40-43",41
"280",4,1,69,40,1.684,"40-43",40
"281",4,1,102,41,1.726,"40-43",41
"282",4,1,84,39,1.642,"35-39",39
"283",4,1,76,38,1.6,"35-39",38
"284",4,1,66,36,1.516,"35-39",36
"285",4,1,134,46,1.937,">43",46
"286",4,1,102,39,1.642,"35-39",39
"287",4,1,60,38,1.6,"35-39",38
"288",4,1,127,45,1.895,">43",45
"289",4,1,36,30,1.263,"30-34",30
"290",4,1,65,37,1.558,"35-39",37
"291",4,1,165,46,1.937,">43",46
"292",4,1,94,41,1.726,"40-43",41
"293",4,1,43,34,1.432,"30-34",34
"294",4,1,91,43,1.811,"40-43",43
"295",4,1,107,42,1.768,"40-43",42
"296",4,1,94,40,1.684,"40-43",40
"297",4,1,71,37,1.558,"35-39",37
"298",4,1,85,43,1.811,"40-43",43
"299",4,1,60,37,1.558,"35-39",37
"300",4,1,132,40,1.684,"40-43",40
"301",4,1,127,45,1.895,">43",45
"302",4,1,68,36,1.516,"35-39",36
"303",4,1,147,45,1.895,">43",45
"304",4,1,76,38,1.6,"35-39",38
"305",4,1,106,43,1.811,"40-43",43
"306",4,4,106,40,1.684,"40-43",40
"307",4,4,72,35,1.474,"35-39",35
"308",4,4,131,43,1.811,"40-43",43
"309",4,4,70,40,1.684,"40-43",40
"310",4,4,126,45,1.895,">43",45
"311",4,4,77,41,1.726,"40-43",41
"312",4,4,78,43,1.811,"40-43",43
"313",4,4,103,41,1.726,"40-43",41
"314",4,4,82,40,1.684,"40-43",40
"315",4,4,103,41,1.726,"40-43",41
"316",4,4,90,42,1.768,"40-43",42
"317",4,4,105,42,1.768,"40-43",42
"318",4,4,96,41,1.726,"40-43",41
"319",4,4,80,39,1.642,"35-39",39
"320",4,4,112,45,1.895,">43",45
"321",4,4,64,37,1.558,"35-39",37
"322",4,4,101,43,1.811,"40-43",43
"323",4,4,112,44,1.853,">43",44
"324",4,4,121,43,1.811,"40-43",43
"325",4,4,125,45,1.895,">43",45
"326",4,4,101,41,1.726,"40-43",41
"327",4,4,100,42,1.768,"40-43",42
"328",4,4,140,45,1.895,">43",45
"329",4,4,58,34,1.432,"30-34",34
"330",4,4,84,42,1.768,"40-43",42
"331",4,7,139,44,1.853,">43",44
"332",4,7,114,44,1.853,">43",44
"333",4,7,121,46,1.937,">43",46
"334",4,7,58,41,1.726,"40-43",41
"335",4,7,103,41,1.726,"40-43",41
"336",4,7,108,43,1.811,"40-43",43
"337",4,7,106,40,1.684,"40-43",40
"338",4,7,59,31,1.305,"30-34",31
"339",4,7,104,42,1.768,"40-43",42
"340",4,7,116,43,1.811,"40-43",43
"341",4,7,85,41,1.726,"40-43",41
"342",4,7,68,40,1.684,"40-43",40
"343",4,7,58,34,1.432,"30-34",34
"344",4,7,79,40,1.684,"40-43",40
"345",4,7,100,44,1.853,">43",44
"346",4,7,77,37,1.558,"35-39",37
"347",4,7,110,42,1.768,"40-43",42
"348",4,7,104,43,1.811,"40-43",43
"349",4,7,125,45,1.895,">43",45
"350",4,7,123,41,1.726,"40-43",41
"351",4,7,82,40,1.684,"40-43",40
"352",4,7,102,40,1.684,"40-43",40
"353",4,7,111,42,1.768,"40-43",42
"354",4,7,92,40,1.684,"40-43",40
"355",4,10,113,43,1.811,"40-43",43
"356",4,10,117,42,1.768,"40-43",42
"357",4,10,98,42,1.768,"40-43",42
"358",4,10,115,45,1.895,">43",45
"359",4,10,145,46,1.937,">43",46
"360",4,10,97,42,1.768,"40-43",42
"361",4,10,97,43,1.811,"40-43",43
"362",4,10,95,42,1.768,"40-43",42
"363",4,10,83,43,1.811,"40-43",43
"364",4,10,65,37,1.558,"35-39",37
"365",4,10,107,43,1.811,"40-43",43
"366",4,10,112,43,1.811,"40-43",43
"367",4,10,113,44,1.853,">43",44
"368",4,10,97,43,1.811,"40-43",43
"369",4,10,94,43,1.811,"40-43",43
"370",4,10,81,42,1.768,"40-43",42
"371",4,10,102,45,1.895,">43",45
"372",4,10,79,41,1.726,"40-43",41
"373",4,10,132,47,1.979,">43",47
"374",4,10,98,42,1.768,"40-43",42
"375",4,10,107,42,1.768,"40-43",42
"376",4,10,81,40,1.684,"40-43",40
"377",4,10,121,46,1.937,">43",46
"378",4,10,95,41,1.726,"40-43",41
"379",4,10,79,40,1.684,"40-43",40
"380",6,1,77,37,1.558,"35-39",37
"381",6,1,64,36,1.516,"35-39",36
"382",6,1,87,40,1.684,"40-43",40
"383",6,1,116,45,1.895,">43",45
"384",6,1,77,38,1.6,"35-39",38
"385",6,1,75,35,1.474,"35-39",35
"386",6,1,88,40,1.684,"40-43",40
"387",6,1,33,27,1.137,"<30",27
"388",6,1,111,44,1.853,">43",44
"389",6,1,111,44,1.853,">43",44
"390",6,1,38,33,1.389,"30-34",33
"391",6,1,101,42,1.768,"40-43",42
"392",6,1,95,41,1.726,"40-43",41
"393",6,1,33,27,1.137,"<30",27
"394",6,1,91,39,1.642,"35-39",39
"395",6,1,63,35,1.474,"35-39",35
"396",6,1,103,35,1.474,"35-39",35
"397",6,1,45,32,1.347,"30-34",32
"398",6,1,78,38,1.6,"35-39",38
"399",6,1,120,43,1.811,"40-43",43
"400",6,1,36,30,1.263,"30-34",30
"401",6,1,73,38,1.6,"35-39",38
"402",6,1,134,46,1.937,">43",46
"403",6,1,87,43,1.811,"40-43",43
"404",6,1,128,46,1.937,">43",46
"405",6,1,113,45,1.895,">43",45
"406",6,1,158,48,2.021,">43",48
"407",6,1,112,44,1.853,">43",44
"408",6,1,60,36,1.516,"35-39",36
"409",6,1,147,47,1.979,">43",47
"410",6,1,80,39,1.642,"35-39",39
"411",6,1,74,37,1.558,"35-39",37
"412",6,1,57,33,1.389,"30-34",33
"413",6,1,85,36,1.516,"35-39",36
"414",6,1,64,40,1.684,"40-43",40
"415",6,4,146,48,2.021,">43",48
"416",6,4,55,35,1.474,"35-39",35
"417",6,4,67,36,1.516,"35-39",36
"418",6,4,142,47,1.979,">43",47
"419",6,4,100,41,1.726,"40-43",41
"420",6,4,117,44,1.853,">43",44
"421",6,4,44,32,1.347,"30-34",32
"422",6,4,43,31,1.305,"30-34",31
"423",6,4,67,39,1.642,"35-39",39
"424",6,4,110,44,1.853,">43",44
"425",6,4,83,39,1.642,"35-39",39
"426",6,4,57,36,1.516,"35-39",36
"427",6,4,56,32,1.347,"30-34",32
"428",6,4,54,31,1.305,"30-34",31
"429",6,4,99,45,1.895,">43",45
"430",6,4,47,30,1.263,"30-34",30
"431",6,4,84,38,1.6,"35-39",38
"432",6,4,68,35,1.474,"35-39",35
"433",6,4,103,40,1.684,"40-43",40
"434",6,4,58,32,1.347,"30-34",32
"435",6,4,125,44,1.853,">43",44
"436",6,4,95,40,1.684,"40-43",40
"437",6,4,91,41,1.726,"40-43",41
"438",6,4,100,44,1.853,">43",44
"439",6,4,83,38,1.6,"35-39",38
"440",6,4,61,34,1.432,"30-34",34
"441",6,4,40,29,1.221,"<30",29
"442",6,4,103,40,1.684,"40-43",40
"443",6,4,68,38,1.6,"35-39",38
"444",6,4,78,38,1.6,"35-39",38
"445",6,4,54,34,1.432,"30-34",34
"446",6,4,88,42,1.768,"40-43",42
"447",6,4,115,45,1.895,">43",45
"448",6,4,104,47,1.979,">43",47
"449",6,4,64,38,1.6,"35-39",38
"450",6,7,98,42,1.768,"40-43",42
"451",6,7,49,31,1.305,"30-34",31
"452",6,7,75,33,1.389,"30-34",33
"453",6,7,120,42,1.768,"40-43",42
"454",6,7,126,47,1.979,">43",47
"455",6,7,121,43,1.811,"40-43",43
"456",6,7,93,44,1.853,">43",44
"457",6,7,118,46,1.937,">43",46
"458",6,7,74,39,1.642,"35-39",39
"459",6,7,122,45,1.895,">43",45
"460",6,7,93,40,1.684,"40-43",40
"461",6,7,114,44,1.853,">43",44
"462",6,7,128,46,1.937,">43",46
"463",6,7,101,42,1.768,"40-43",42
"464",6,7,111,44,1.853,">43",44
"465",6,7,85,39,1.642,"35-39",39
"466",6,7,92,41,1.726,"40-43",41
"467",6,7,67,36,1.516,"35-39",36
"468",6,7,77,41,1.726,"40-43",41
"469",6,7,85,42,1.768,"40-43",42
"470",6,7,109,44,1.853,">43",44
"471",6,7,46,32,1.347,"30-34",32
"472",6,7,88,41,1.726,"40-43",41
"473",6,7,130,47,1.979,">43",47
"474",6,7,104,44,1.853,">43",44
"475",6,7,91,40,1.684,"40-43",40
"476",6,7,111,43,1.811,"40-43",43
"477",6,10,86,45,1.895,">43",45
"478",6,10,71,43,1.811,"40-43",43
"479",6,10,152,46,1.937,">43",46
"480",6,10,137,42,1.768,"40-43",42
"481",6,10,76,41,1.726,"40-43",41
"482",6,10,120,44,1.853,">43",44
"483",6,10,60,41,1.726,"40-43",41
"484",6,10,94,40,1.684,"40-43",40
"485",6,10,87,37,1.558,"35-39",37
"486",6,10,76,39,1.642,"35-39",39
"487",6,10,94,40,1.684,"40-43",40
"488",6,10,111,44,1.853,">43",44
"489",6,10,90,35,1.474,"35-39",35
"490",6,10,35,27,1.137,"<30",27
"491",6,10,87,39,1.642,"35-39",39
"492",6,10,138,42,1.768,"40-43",42
"493",6,10,68,37,1.558,"35-39",37
"494",6,10,95,42,1.768,"40-43",42
"495",6,10,97,43,1.811,"40-43",43
"496",6,10,101,45,1.895,">43",45
"497",6,10,90,44,1.853,">43",44
"498",7,1,85,38,1.6,"35-39",38
"499",7,1,103,41,1.726,"40-43",41
"500",7,1,125,45,1.895,">43",45
"501",7,1,80,38,1.6,"35-39",38
"502",7,1,122,45,1.895,">43",45
"503",7,1,113,43,1.811,"40-43",43
"504",7,1,113,41,1.726,"40-43",41
"505",7,1,87,40,1.684,"40-43",40
"506",7,1,86,38,1.6,"35-39",38
"507",7,1,99,42,1.768,"40-43",42
"508",7,1,124,46,1.937,">43",46
"509",7,1,92,41,1.726,"40-43",41
"510",7,1,75,36,1.516,"35-39",36
"511",7,1,97,43,1.811,"40-43",43
"512",7,1,73,36,1.516,"35-39",36
"513",7,1,82,37,1.558,"35-39",37
"514",7,1,84,40,1.684,"40-43",40
"515",7,1,114,45,1.895,">43",45
"516",7,1,79,38,1.6,"35-39",38
"517",7,1,90,39,1.642,"35-39",39
"518",7,1,77,37,1.558,"35-39",37
"519",7,1,105,40,1.684,"40-43",40
"520",7,1,59,33,1.389,"30-34",33
"521",7,1,74,36,1.516,"35-39",36
"522",7,4,116,46,1.937,">43",46
"523",7,4,65,40,1.684,"40-43",40
"524",7,4,97,43,1.811,"40-43",43
"525",7,4,90,37,1.558,"35-39",37
"526",7,4,120,41,1.726,"40-43",41
"527",7,4,84,35,1.474,"35-39",35
"528",7,4,59,34,1.432,"30-34",34
"529",7,4,74,39,1.642,"35-39",39
"530",7,4,118,44,1.853,">43",44
"531",7,4,46,28,1.179,"<30",28
"532",7,4,121,45,1.895,">43",45
"533",7,4,113,44,1.853,">43",44
"534",7,4,81,37,1.558,"35-39",37
"535",7,4,91,39,1.642,"35-39",39
"536",7,4,136,46,1.937,">43",46
"537",7,4,65,35,1.474,"35-39",35
"538",7,4,114,43,1.811,"40-43",43
"539",7,4,135,45,1.895,">43",45
"540",7,4,87,41,1.726,"40-43",41
"541",7,4,114,45,1.895,">43",45
"542",7,4,69,32,1.347,"30-34",32
"543",7,4,113,45,1.895,">43",45
"544",7,4,83,38,1.6,"35-39",38
"545",7,4,76,40,1.684,"40-43",40
"547",7,4,151,42,1.768,"40-43",42
"548",7,4,41,30,1.263,"30-34",30
"549",7,4,58,37,1.558,"35-39",37
"550",7,7,87,41,1.726,"40-43",41
"551",7,7,86,43,1.811,"40-43",43
"552",7,7,70,39,1.642,"35-39",39
"553",7,7,110,46,1.937,">43",46
"554",7,7,64,35,1.474,"35-39",35
"555",7,7,87,40,1.684,"40-43",40
"556",7,7,79,39,1.642,"35-39",39
"557",7,7,125,44,1.853,">43",44
"558",7,7,125,45,1.895,">43",45
"559",7,7,48,31,1.305,"30-34",31
"560",7,7,114,43,1.811,"40-43",43
"561",7,7,99,43,1.811,"40-43",43
"562",7,7,101,41,1.726,"40-43",41
"563",7,7,90,40,1.684,"40-43",40
"564",7,7,88,41,1.726,"40-43",41
"565",7,7,85,41,1.726,"40-43",41
"566",7,7,90,43,1.811,"40-43",43
"567",7,7,73,41,1.726,"40-43",41
"568",7,7,97,44,1.853,">43",44
"569",7,7,59,34,1.432,"30-34",34
"570",7,10,108,44,1.853,">43",44
"571",7,10,123,42,1.768,"40-43",42
"572",7,10,90,40,1.684,"40-43",40
"573",7,10,68,42,1.768,"40-43",42
"574",7,10,71,40,1.684,"40-43",40
"575",7,10,55,36,1.516,"35-39",36
"576",7,10,84,46,1.937,">43",46
"577",7,10,61,41,1.726,"40-43",41
"578",7,10,73,42,1.768,"40-43",42
"579",7,10,65,40,1.684,"40-43",40
"580",7,10,75,36,1.516,"35-39",36
"581",7,10,118,45,1.895,">43",45
"582",7,10,129,46,1.937,">43",46
"583",7,10,91,45,1.895,">43",45
"584",7,10,117,43,1.811,"40-43",43
"585",7,10,139,42,1.768,"40-43",42
"586",7,10,108,38,1.6,"35-39",38
"587",7,10,123,42,1.768,"40-43",42
"588",7,10,87,38,1.6,"35-39",38
"589",7,10,119,41,1.726,"40-43",41
"590",8,1,71,36,1.516,"35-39",36
"591",8,1,127,43,1.811,"40-43",43
"592",8,1,110,45,1.895,">43",45
"593",8,1,80,35,1.474,"35-39",35
"594",8,1,36,28,1.179,"<30",28
"595",8,1,44,33,1.389,"30-34",33
"596",8,1,113,44,1.853,">43",44
"597",8,1,77,38,1.6,"35-39",38
"598",8,1,102,46,1.937,">43",46
"599",8,1,86,44,1.853,">43",44
"600",8,1,108,43,1.811,"40-43",43
"601",8,1,118,43,1.811,"40-43",43
"602",8,1,102,44,1.853,">43",44
"603",8,1,59,40,1.684,"40-43",40
"604",8,1,75,44,1.853,">43",44
"605",8,1,80,40,1.684,"40-43",40
"606",8,1,102,44,1.853,">43",44
"607",8,1,117,44,1.853,">43",44
"608",8,1,54,33,1.389,"30-34",33
"609",8,1,99,44,1.853,">43",44
"610",8,4,88,44,1.853,">43",44
"611",8,4,56,36,1.516,"35-39",36
"612",8,4,108,41,1.726,"40-43",41
"613",8,4,98,41,1.726,"40-43",41
"614",8,4,23,29,1.221,"<30",29
"615",8,4,162,44,1.853,">43",44
"616",8,4,35,28,1.179,"<30",28
"617",8,4,113,45,1.895,">43",45
"618",8,4,67,35,1.474,"35-39",35
"619",8,4,58,33,1.389,"30-34",33
"620",8,4,104,43,1.811,"40-43",43
"621",8,4,121,44,1.853,">43",44
"622",8,4,130,45,1.895,">43",45
"623",8,4,118,39,1.642,"35-39",39
"624",8,4,140,47,1.979,">43",47
"625",8,4,94,40,1.684,"40-43",40
"626",8,4,111,46,1.937,">43",46
"627",8,4,115,38,1.6,"35-39",38
"628",8,4,164,42,1.768,"40-43",42
"630",8,4,152,45,1.895,">43",45
"631",8,4,148,44,1.853,">43",44
"632",8,7,97,43,1.811,"40-43",43
"633",8,7,95,43,1.811,"40-43",43
"634",8,7,90,41,1.726,"40-43",41
"635",8,7,95,40,1.684,"40-43",40
"636",8,7,88,44,1.853,">43",44
"637",8,7,83,41,1.726,"40-43",41
"638",8,7,86,37,1.558,"35-39",37
"639",8,7,88,40,1.684,"40-43",40
"640",8,7,111,42,1.768,"40-43",42
"641",8,7,102,46,1.937,">43",46
"642",8,7,64,37,1.558,"35-39",37
"643",8,7,84,41,1.726,"40-43",41
"644",8,7,112,42,1.768,"40-43",42
"645",8,7,85,42,1.768,"40-43",42
"646",8,7,74,34,1.432,"30-34",34
"647",8,7,77,42,1.768,"40-43",42
"648",8,7,44,36,1.516,"35-39",36
"649",8,7,62,39,1.642,"35-39",39
"650",8,7,74,38,1.6,"35-39",38
