"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class","Headwidth_numeric"
"48",1,4,93,45,1.895,">43",45
"49",1,4,84,43,1.811,"40-43",43
"50",1,4,95,43,1.811,"40-43",43
"51",1,4,80,38,1.6,"35-39",38
"52",1,4,74,39,1.642,"35-39",39
"53",1,4,96,43,1.811,"40-43",43
"54",1,4,149,44,1.853,">43",44
"55",1,4,107,44,1.853,">43",44
"56",1,4,98,42,1.768,"40-43",42
"57",1,4,110,46,1.937,">43",46
"58",1,7,115,45,1.895,">43",45
"59",1,7,107,41,1.726,"40-43",41
"60",1,7,105,42,1.768,"40-43",42
"61",1,7,96,43,1.811,"40-43",43
"62",1,7,70,37,1.558,"35-39",37
"63",1,7,96,42,1.768,"40-43",42
"64",1,7,127,43,1.811,"40-43",43
"65",1,7,131,45,1.895,">43",45
"66",1,7,104,40,1.684,"40-43",40
"67",1,7,126,46,1.937,">43",46
"68",1,7,83,42,1.768,"40-43",42
"69",1,7,108,43,1.811,"40-43",43
"70",1,7,99,42,1.768,"40-43",42
"71",1,7,92,42,1.768,"40-43",42
"72",1,7,103,47,1.979,">43",47
"73",1,7,104,42,1.768,"40-43",42
"74",1,7,107,42,1.768,"40-43",42
"75",1,7,120,45,1.895,">43",45
"76",1,7,112,43,1.811,"40-43",43
"77",1,7,97,41,1.726,"40-43",41
"78",1,7,94,42,1.768,"40-43",42
"79",1,7,92,40,1.684,"40-43",40
"80",1,10,123,44,1.853,">43",44
"81",1,10,72,33,1.389,"30-34",33
"82",1,10,92,40,1.684,"40-43",40
"83",1,10,75,38,1.6,"35-39",38
"84",1,10,110,46,1.937,">43",46
"85",1,10,97,43,1.811,"40-43",43
"86",1,10,93,41,1.726,"40-43",41
"87",1,10,88,43,1.811,"40-43",43
"88",1,10,82,42,1.768,"40-43",42
"89",1,10,101,43,1.811,"40-43",43
"90",1,10,110,41,1.726,"40-43",41
"91",1,10,75,37,1.558,"35-39",37
"92",1,10,81,40,1.684,"40-43",40
"93",1,10,99,43,1.811,"40-43",43
"94",1,10,103,43,1.811,"40-43",43
"95",1,10,114,46,1.937,">43",46
"96",1,10,101,46,1.937,">43",46
"97",1,10,77,42,1.768,"40-43",42
"98",1,10,125,47,1.979,">43",47
"99",1,10,90,39,1.642,"35-39",39
"100",2,1,148,45,1.895,">43",45
"101",2,1,110,45,1.895,">43",45
"102",2,1,110,41,1.726,"40-43",41
"103",2,1,97,41,1.726,"40-43",41
"104",2,1,136,45,1.895,">43",45
"105",2,1,115,43,1.811,"40-43",43
"106",2,1,101,42,1.768,"40-43",42
"107",2,1,158,47,1.979,">43",47
"108",2,1,67,36,1.516,"35-39",36
"109",2,1,114,42,1.768,"40-43",42
"110",2,1,62,35,1.474,"35-39",35
"111",2,1,67,36,1.516,"35-39",36
"112",2,1,121,45,1.895,">43",45
"113",2,1,47,33,1.389,"30-34",33
"114",2,1,82,37,1.558,"35-39",37
"115",2,1,79,38,1.6,"35-39",38
"116",2,1,119,46,1.937,">43",46
"117",2,1,111,41,1.726,"40-43",41
"118",2,1,47,32,1.347,"30-34",32
"119",2,1,75,39,1.642,"35-39",39
"120",2,1,60,35,1.474,"35-39",35
"121",2,1,104,45,1.895,">43",45
"122",2,4,133,46,1.937,">43",46
"123",2,4,134,47,1.979,">43",47
"124",2,4,73,44,1.853,">43",44
"125",2,4,121,44,1.853,">43",44
"126",2,4,73,39,1.642,"35-39",39
"127",2,4,86,42,1.768,"40-43",42
"128",2,4,63,40,1.684,"40-43",40
"129",2,4,84,41,1.726,"40-43",41
"130",2,4,129,46,1.937,">43",46
"131",2,4,106,45,1.895,">43",45
"132",2,4,90,40,1.684,"40-43",40
"133",2,4,62,38,1.6,"35-39",38
"134",2,4,70,39,1.642,"35-39",39
"135",2,4,86,44,1.853,">43",44
"136",2,4,99,42,1.768,"40-43",42
"137",2,4,50,36,1.516,"35-39",36
"138",2,4,133,47,1.979,">43",47
"139",2,4,74,43,1.811,"40-43",43
"140",2,4,140,47,1.979,">43",47
"141",2,4,77,37,1.558,"35-39",37
"142",2,4,137,46,1.937,">43",46
"143",2,4,94,39,1.642,"35-39",39
"144",2,7,79,39,1.642,"35-39",39
"145",2,7,105,42,1.768,"40-43",42
"146",2,7,104,42,1.768,"40-43",42
"147",2,7,99,43,1.811,"40-43",43
"148",2,7,67,35,1.474,"35-39",35
"149",2,7,129,46,1.937,">43",46
"150",2,7,97,37,1.558,"35-39",37
"151",2,7,126,45,1.895,">43",45
"152",2,7,152,46,1.937,">43",46
"153",2,7,67,34,1.432,"30-34",34
"154",2,7,60,34,1.432,"30-34",34
"155",2,7,94,40,1.684,"40-43",40
"156",2,7,128,46,1.937,">43",46
"157",2,7,101,43,1.811,"40-43",43
"158",2,7,44,31,1.305,"30-34",31
"159",2,7,119,45,1.895,">43",45
"160",2,7,117,45,1.895,">43",45
"161",2,7,80,40,1.684,"40-43",40
"162",2,7,78,39,1.642,"35-39",39
"163",2,7,54,31,1.305,"30-34",31
"164",2,7,99,45,1.895,">43",45
"165",2,10,137,44,1.853,">43",44
"166",2,10,120,42,1.768,"40-43",42
"167",2,10,107,42,1.768,"40-43",42
"168",2,10,98,43,1.811,"40-43",43
"169",2,10,97,45,1.895,">43",45
"170",2,10,55,43,1.811,"40-43",43
"171",2,10,96,40,1.684,"40-43",40
"172",2,10,118,43,1.811,"40-43",43
"173",2,10,73,39,1.642,"35-39",39
"174",2,10,102,43,1.811,"40-43",43
"175",2,10,103,44,1.853,">43",44
"176",2,10,97,45,1.895,">43",45
"177",2,10,96,43,1.811,"40-43",43
"178",2,10,81,42,1.768,"40-43",42
"179",2,10,114,42,1.768,"40-43",42
"180",2,10,143,47,1.979,">43",47
"181",2,10,52,30,1.263,"30-34",30
"182",2,10,83,43,1.811,"40-43",43
"183",2,10,76,37,1.558,"35-39",37
"184",2,10,141,45,1.895,">43",45
"185",2,10,99,40,1.684,"40-43",40
"186",2,10,154,48,2.021,">43",48
"187",2,10,109,42,1.768,"40-43",42
"188",1,0,163,46,1.937,">43",46
"189",1,0,102,39,1.642,"35-39",39
"190",1,0,144,48,2.021,">43",48
"191",1,0,115,43,1.811,"40-43",43
"192",1,0,108,43,1.811,"40-43",43
"193",1,0,68,34,1.432,"30-34",34
"194",1,0,107,42,1.768,"40-43",42
"195",1,0,141,42,1.768,"40-43",42
"196",1,0,111,42,1.768,"40-43",42
"197",1,0,55,32,1.347,"30-34",32
"198",1,0,112,42,1.768,"40-43",42
"199",1,0,100,39,1.642,"35-39",39
"200",2,0,116,43,1.811,"40-43",43
"201",2,0,71,35,1.474,"35-39",35
"202",2,0,146,46,1.937,">43",46
"203",2,0,119,45,1.895,">43",45
"204",2,0,97,42,1.768,"40-43",42
"205",2,0,43,30,1.263,"30-34",30
"206",2,0,127,45,1.895,">43",45
"207",2,0,106,43,1.811,"40-43",43
"208",2,0,79,35,1.474,"35-39",35
"209",2,0,127,45,1.895,">43",45
"210",2,0,114,44,1.853,">43",44
"211",2,0,85,40,1.684,"40-43",40
